frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)
132	0.680249	6	233.384	45.942	1360.376	820.598	2133.561	510.205	3374.340	638.351	4032.481	654.219	4857.108	657.460
133	0.685249	6	229.961	51.075	1522.424	557.359	2481.234	808.629	3307.598	803.507	4177.427	451.566	4747.596	1006.263
134	0.690249	6	234.845	271.506	1703.317	454.268	2731.187	601.980	3341.213	677.437	4146.734	329.844	4639.405	500.506
135	0.695249	6	313.092	922.493	1705.461	451.480	2836.340	940.779	3161.105	701.326	4159.654	301.914	4681.677	443.674
136	0.700249	6	587.726	720.838	1767.509	310.578	3007.875	498.822	3256.235	1465.413	4227.056	280.762	4812.329	367.920
137	0.705249	6	500.192	683.251	1807.667	238.391	2878.804	515.246	3805.448	690.406	4368.860	427.615	4887.529	395.014
138	0.710249	5	1883.324	520.932	2766.363	1034.232	3801.706	483.280	4342.076	382.603	4820.571	314.247	--undefined--	--undefined--
139	0.715249	5	1822.275	505.219	2596.625	744.661	3558.094	421.173	4275.636	172.824	4649.011	156.096	--undefined--	--undefined--
140	0.720249	5	1798.215	346.013	2615.737	297.063	3551.716	307.050	4364.853	113.977	4658.316	184.816	--undefined--	--undefined--
141	0.725249	5	1823.017	149.280	2628.794	281.206	3556.666	326.290	4374.898	80.346	4677.409	285.335	--undefined--	--undefined--
142	0.730249	5	1848.506	126.441	2743.481	829.548	3421.713	433.849	4344.284	118.200	4581.507	457.699	--undefined--	--undefined--
143	0.735249	5	1840.983	124.380	2737.654	676.045	3470.367	445.099	4316.577	109.124	4624.365	419.964	--undefined--	--undefined--
144	0.740249	5	1829.455	80.205	2632.894	273.871	3631.894	307.880	4342.093	64.490	4733.762	302.047	--undefined--	--undefined--
145	0.745249	5	1827.736	84.560	2604.490	240.922	3692.152	357.745	4364.565	40.122	4808.069	193.568	--undefined--	--undefined--
146	0.750249	5	1826.007	116.139	2618.659	303.731	3773.661	327.229	4367.483	61.861	4862.039	232.611	--undefined--	--undefined--
147	0.755249	5	1847.154	140.888	2693.370	231.223	3799.490	128.329	4377.731	100.989	4882.298	164.753	--undefined--	--undefined--
148	0.760249	5	1839.191	136.240	2671.250	175.903	3786.325	87.519	4359.947	98.347	4867.081	142.167	--undefined--	--undefined--
149	0.765249	5	1781.681	155.024	2668.315	136.182	3726.343	77.850	4346.615	72.603	4880.277	167.914	--undefined--	--undefined--
150	0.770249	5	1781.258	97.389	2672.923	154.489	3683.278	177.345	4355.010	85.003	4875.356	312.589	--undefined--	--undefined--
151	0.775249	5	1771.597	69.656	2630.923	77.420	3720.131	264.355	4353.335	125.843	4801.413	541.485	--undefined--	--undefined--
152	0.780249	5	1761.722	45.578	2619.167	30.169	3771.702	234.516	4394.123	188.028	4771.925	828.896	--undefined--	--undefined--
153	0.785249	6	61.700	580.250	1783.845	37.472	2611.110	35.486	3833.718	469.228	4471.142	409.999	4737.667	844.975
154	0.790249	6	100.322	383.502	1781.880	51.310	2606.250	87.992	3983.024	557.564	4518.039	1307.993	4633.128	472.427
155	0.795249	5	127.370	373.140	1785.007	112.811	2658.139	150.140	3995.093	416.866	4584.564	289.790	--undefined--	--undefined--
156	0.800249	5	259.913	408.506	1795.115	96.655	2694.327	152.574	3851.177	236.889	4473.223	140.486	--undefined--	--undefined--
157	0.805249	5	323.001	383.800	1784.080	53.770	2742.637	259.140	3827.175	248.284	4440.735	139.383	--undefined--	--undefined--
158	0.810249	5	395.205	728.578	1781.941	42.150	2794.197	329.201	3839.703	265.365	4428.812	122.485	--undefined--	--undefined--
159	0.815249	5	378.257	791.586	1773.727	80.681	2723.351	252.956	3839.159	246.953	4403.225	123.326	--undefined--	--undefined--
160	0.820249	5	287.654	656.531	1799.900	219.473	2734.662	399.808	3828.605	276.281	4403.596	136.363	--undefined--	--undefined--
161	0.825249	5	321.177	436.637	1794.098	180.317	2887.600	582.625	3847.655	492.370	4472.037	260.463	--undefined--	--undefined--
162	0.830249	5	316.118	771.856	1760.349	277.903	2917.351	472.948	3996.710	864.989	4510.698	371.713	--undefined--	--undefined--
163	0.835249	5	858.160	1124.624	1765.207	445.738	2807.460	717.581	3694.575	546.083	4501.946	321.219	--undefined--	--undefined--
164	0.840249	5	392.344	1094.414	1726.183	563.127	2689.907	1260.665	3705.351	619.333	4544.316	495.339	--undefined--	--undefined--
165	0.845249	6	395.928	604.154	1599.195	444.274	2236.439	1260.331	3296.348	646.279	4246.978	576.955	4777.146	811.338
166	0.850249	6	459.334	516.521	1588.287	339.920	2313.533	1028.552	3201.460	530.720	4217.342	363.209	4903.238	617.153
167	0.855249	6	503.534	682.171	1529.472	477.587	2623.470	874.673	3271.354	1094.306	4274.883	502.645	4931.604	1341.029
168	0.860249	5	1083.780	405.440	1826.685	355.172	2858.127	283.721	3822.577	678.399	4398.332	255.572	--undefined--	--undefined--
169	0.865249	5	1164.536	476.073	1902.800	424.033	2896.464	462.772	3784.900	714.226	4498.581	336.535	--undefined--	--undefined--
170	0.870249	5	1498.323	709.525	2295.300	427.723	3530.270	470.453	4201.467	1552.666	4726.809	380.876	--undefined--	--undefined--
171	0.875249	6	394.575	884.574	1501.988	488.054	2304.299	445.256	3657.273	549.896	4091.169	1311.315	4751.797	379.975
172	0.880249	5	636.938	1012.107	1622.776	480.789	2663.325	1072.720	3634.388	713.531	4520.853	486.420	--undefined--	--undefined--
173	0.885249	5	902.362	1111.966	1757.694	386.526	2995.700	1260.294	3505.228	624.316	4499.971	567.989	--undefined--	--undefined--
174	0.890249	5	869.495	796.732	1868.382	342.749	3105.337	940.758	3791.110	590.899	4712.183	645.416	--undefined--	--undefined--
175	0.895249	5	865.092	718.370	1819.470	386.827	2843.738	1013.941	3793.443	602.805	4619.381	604.772	--undefined--	--undefined--
176	0.900249	6	622.289	1027.361	1667.486	383.228	1871.911	1623.465	3110.267	542.815	4215.383	436.912	4831.696	936.749
177	0.905249	6	540.648	1109.545	1624.717	343.511	2073.740	1473.386	3111.499	543.296	4303.661	370.818	4855.528	1301.802
178	0.910249	6	793.395	1019.864	1653.937	636.916	2320.264	2000.533	3205.350	793.873	4418.347	464.663	5157.613	2814.787
179	0.915249	5	1058.111	717.712	1956.727	594.523	2947.190	874.919	3728.624	816.804	4497.973	750.817	--undefined--	--undefined--
180	0.920249	5	1199.917	870.842	2084.992	902.014	2742.781	796.352	3746.934	627.533	4374.352	831.666	--undefined--	--undefined--
181	0.925249	5	1391.590	803.584	2467.003	877.569	2788.955	1202.038	3954.098	550.551	4815.474	840.856	--undefined--	--undefined--
182	0.930249	5	1328.993	491.109	2265.901	507.039	3092.468	673.649	4001.810	538.422	4836.376	385.941	--undefined--	--undefined--
183	0.935249	5	1332.580	386.617	2337.908	572.028	3130.143	716.430	4077.282	581.157	4837.523	400.783	--undefined--	--undefined--
184	0.940249	6	583.200	684.010	1383.919	451.014	2402.903	842.948	3121.246	453.777	4063.978	531.330	4868.401	361.428
185	0.945249	6	611.954	470.184	1456.257	401.198	2507.726	1139.787	3110.959	510.855	4015.315	486.182	4856.013	321.421
186	0.950249	6	663.479	533.447	1416.124	315.893	2461.968	860.724	3307.385	656.780	4027.997	461.920	4811.517	346.354
187	0.955249	6	684.223	717.236	1290.464	348.111	2263.851	607.969	3242.023	624.450	4080.035	381.777	4831.503	378.517
188	0.960249	6	588.594	717.417	1246.896	325.410	2206.301	398.935	3137.372	486.368	4189.403	303.371	4929.390	482.649
189	0.965249	6	414.620	754.958	1296.306	512.804	2094.362	517.467	3114.914	421.227	4212.156	338.748	5018.306	613.243
190	0.970249	5	1084.876	805.055	1963.198	475.902	3209.976	391.784	4234.749	378.874	4985.147	986.790	--undefined--	--undefined--
191	0.975249	5	901.517	519.128	1962.308	343.409	3214.319	454.646	4154.086	720.862	4824.170	728.027	--undefined--	--undefined--
192	0.980249	5	794.292	622.696	1828.172	396.552	2845.008	570.656	3768.036	584.022	4666.094	572.751	--undefined--	--undefined--
193	0.985249	6	557.628	612.209	1673.607	551.994	2614.370	799.957	3489.278	963.163	4587.015	909.022	4932.460	2535.532
194	0.990249	6	452.781	434.375	1572.938	498.001	2356.622	635.904	3234.473	482.841	4212.636	491.231	4909.603	620.714
195	0.995249	6	479.490	443.553	1595.030	513.313	2369.595	695.173	3290.574	434.470	4209.439	444.228	4822.989	728.693
196	1.000249	6	526.944	498.310	1630.423	378.837	2444.635	610.199	3260.893	505.938	4105.765	452.706	4879.566	491.519
197	1.005249	6	432.407	877.175	1622.231	504.887	2537.470	1195.705	3005.472	819.081	3988.974	461.476	4886.972	332.216
198	1.010249	6	439.118	819.928	1493.214	713.785	2753.633	2293.097	2806.298	607.172	3953.221	347.226	4874.692	523.665
199	1.015249	6	471.773	569.951	1371.700	498.016	2798.275	675.314	2941.293	1677.979	3982.324	426.693	4964.472	734.126
200	1.020249	6	457.737	719.861	1409.304	439.771	2291.662	1019.295	3172.881	617.135	3977.513	594.151	4917.683	576.613
201	1.025249	6	582.318	881.120	1410.808	482.553	2222.553	614.211	3304.769	566.180	4075.204	661.748	4809.518	891.282
202	1.030249	6	598.454	601.386	1437.177	553.135	2251.209	398.773	3244.561	499.002	4132.078	466.526	4838.564	744.686
203	1.035249	6	580.098	552.870	1519.920	602.339	2460.358	651.729	3200.528	1129.812	4017.349	541.294	4962.174	852.045
204	1.040249	6	573.104	470.624	1470.965	440.210	2797.600	540.429	3080.589	3288.597	3892.512	387.772	4952.943	697.757
205	1.045249	6	542.597	540.303	1430.449	259.820	2796.527	2082.700	2882.621	552.669	3904.114	489.260	4893.635	458.709
206	1.050249	6	480.490	1371.627	1397.033	359.030	2065.343	1300.882	3011.650	431.078	4010.918	553.579	4895.089	405.619
